customer_id,first_name,last_name,email,country,birth_date,gender,loyalty_points
1,Jeffery,Grant,twalker@flores.com,Faroe Islands,05-05-1980,Male,166
2,Anthony,Phillips,christopher26@hotmail.com,Suriname,06-09-1982,Other,854
3,Bryan,Sosa,calvinlozano@floyd.biz,Indonesia,01-10-1987,Female,1912
4,Alexandra,Stanley,andrewjohnson@porter-bell.com,France,01-10-1988,Female,59
5,Linda,Cardenas,justin97@flowers-hayes.com,Iceland,01-05-1972,,1405
6,Melanie,Mann,,Saint Lucia,1985-09-04,Female,1446
7,Angelica,Harrington,favila@rangel-phillips.com,Saint Helena,1996-04-06,Male,559
8,Robert,Collins,melissabrady@hotmail.com,Belize,,Male,1325
9,Brianna,Brown,qmoore@gmail.com,Paraguay,1985-02-15,Female,239
10,Erica,Snyder,margaretsoto@graves.com,Congo,1982-06-25,Male,101-10-1987
11,Jason,Rodriguez,kelsey75@garrett.com,Malawi,2003-09-04,Female,1213
12,Keith,Campbell,,Wallis and Futuna,1973-12-17,Male,504
13,Andrea,Sanchez,mcgeejustin@gmail.com,Ireland,1985-05-31,,139
14,Destiny,Clark,gregory52@hotmail.com,Micronesia,1972-05-01,Male,1952
15,William,Trujillo,pdavis@young.net,Namibia,1999-09-09,Male,878
16,Steven,Walker,brian42@smith-small.com,Tanzania,1971-02-23,Male,1395
17,Robin,Cortez,opeterson@yahoo.com,Mali,,Male,1028
18,Shelley,Johnson,cheryl93@reed.com,Tokelau,2001-01-27,,108
19,Debra,Wilson,alyssaclark@yahoo.com,Poland,1999-09-24,Female,96
20,Tom,Taylor,melissalee@yahoo.com,Saint Kitts and Nevis,1971-06-24,Other,1370
21,Benjamin,Carter,amandaschmidt@gmail.com,Niue,2002-09-09,Female,978
22,Tina,Cross,franciscomoore@leblanc.com,Algeria,1993-03-05,Female,1806
23,Tina,Kelly,richkevin@hotmail.com,Papua New Guinea,1979-09-11,,1619
24,Michael,George,jasongrant@contreras.org,Uzbekistan,1995-06-15,Male,317
25,Alan,Hoffman,candace10@butler.org,Guadeloupe,01-10-1987,Male,649
26,Denise,Lyons,danielhardin@gmail.com,Iran,1977-01-14,,626
